image	bicycle	bird	bottle	car	chair	diningtable	dog	person	pottedplant	sofa	
00010001	-0.612948	-1.172032	-1.590476	-0.084449	-0.760397	-2.018161	-1.464210	0.120009	-0.545565	-1.604512	
00010002	-1.205788	-1.223620	-0.898980	-0.973989	-0.197501	-0.975941	-1.192116	0.013216	-0.991299	-0.291789	
00010003	-1.038651	-1.946858	-1.295082	2.707078	-0.861567	-2.061300	-1.169884	-0.457821	-0.954277	-1.954357	
00010004	-1.337897	-1.938129	-0.623334	-1.067102	-0.591582	-0.873749	-0.268785	0.211161	-1.055635	-0.895583	
00010005	-1.075120	-1.059865	-0.120905	-0.780422	-0.069319	-0.501064	-1.101623	-1.054446	-1.295377	-1.090206	
00010006	-1.802450	-2.765142	-0.980984	-2.534838	2.288289	-0.798843	-0.976798	-1.719703	-1.483160	-1.172581	
00010007	-1.226243	-2.059506	-1.533378	-0.806698	-0.860400	-1.173136	0.089620	0.170561	-1.115070	-0.789535	
00010008	-1.816485	-1.975488	-0.550462	-1.144720	-0.458256	-0.921478	0.278097	0.523246	-1.097812	-0.772409	
00010009	-1.074356	-1.987984	-1.471647	1.650252	-1.817436	-1.709856	-1.352382	0.120062	-1.419698	-2.058250	
00010010	-0.850527	-1.858900	-1.900195	-0.921862	-1.629347	-1.591037	-0.798811	0.806124	-1.299067	-0.667271	
00010011	-1.213218	-1.656436	0.673498	-0.579990	0.150390	-0.419849	-0.834306	3.895334	0.567639	0.960343	
00010012	-1.986005	0.583775	-1.686078	-1.566755	-0.881999	-1.420422	-0.886973	-0.583699	-1.551852	-1.800841	
00010013	-1.000792	-0.973311	-0.689422	-1.207027	-1.061604	-1.220850	-1.130751	2.692108	-0.976519	-1.137659	
00010014	-1.271923	-2.520458	-1.096272	-0.954254	-1.275854	-1.155303	2.595804	-1.264186	-1.648133	-0.635355	
00010015	-1.323819	-2.489890	-1.951217	-1.133908	-0.755400	-1.681198	1.147986	-0.644390	-1.490336	-0.799346	
00010016	-0.400217	-0.778639	-1.793451	-0.273591	-1.963464	-1.415235	-1.279519	-0.255589	-1.040459	-1.264139	
00010017	-0.951789	-1.415398	-0.642025	-1.009836	-0.282643	-0.835163	-1.209779	2.103289	-0.732624	-0.825758	
00010018	-1.064952	-0.766300	-0.926176	-1.290995	-0.644213	-1.310946	-1.514062	1.049176	-1.015512	-1.960196	
00010019	-1.116761	-2.028190	-0.734571	-3.234533	-0.944908	-1.309200	-0.811137	0.569450	-0.976278	-2.342216	
00010020	-0.495479	-2.069583	-2.083065	-0.852059	-0.677112	-1.023115	-1.613574	0.522301	-0.602441	-0.567153	
00010021	-0.922050	-1.474357	-0.966675	-1.561614	-0.546295	-0.760591	-1.305511	1.266358	-0.476430	-1.000601	
00010022	-1.245138	-1.120061	-0.922786	-1.100001	-1.311189	-1.143930	-1.983792	2.770387	-0.882593	-1.107703	
00010023	-0.160903	-3.067810	-1.392321	-0.605740	-1.668169	-1.510089	-2.462222	0.840137	-1.608791	-2.414494	
00010024	-0.742298	-1.294049	-1.186215	-1.114541	-0.683745	-2.044400	-0.977108	0.742511	-1.351157	-1.411701	
00010025	-1.440534	-1.683475	-2.115928	0.068285	-1.007030	-0.812931	-1.246424	0.243436	-1.517224	-1.253101	
00010026	-1.317611	-1.468621	-0.721722	-1.202993	-0.409840	-0.769662	-1.286297	1.972972	-0.794854	-0.736878	
00010027	-0.907348	-1.371074	-0.012765	-0.890686	0.036722	0.164377	-0.968050	0.638271	-0.614345	-0.403269	
00010028	-1.281378	2.673468	-1.972427	-1.582496	-3.527726	-1.371085	-1.922191	-1.362585	-1.622612	-1.260077	
00010029	-2.058723	-1.485433	-0.282053	-0.496178	-0.983640	-1.261646	-0.586380	3.311725	-1.092781	-0.267174	
00010030	-1.006597	-0.496322	-0.086117	-0.420304	-1.538610	-1.751071	-0.534632	0.246334	-0.670888	-0.074880	
00010031	-1.620323	-1.611847	-0.908988	-1.172237	-0.563526	-0.995731	-0.599882	1.532307	-0.898161	-0.310464	
